threshold_days,mean_cost,p_fail,objective,mean_cbm_actions,mean_inspections
30.0,87924.87210285483,0.5284,88189.07210285483,11.2324,11.2324
32.0,68916.10320109878,0.7776,69304.90320109879,5.1968,10.6432
34.0,68719.9041892712,0.7776,69108.7041892712,5.1386,10.6372
36.0,68683.09818412672,0.7776,69071.89818412672,5.0816,10.6256
38.0,68726.18018544579,0.7776,69114.98018544579,5.0258,10.6128
40.0,68704.3787401053,0.7776,69093.1787401053,4.9832,10.6046
42.0,68597.7978863852,0.7776,68986.5978863852,4.9348,10.5978
44.0,68543.51057390544,0.7776,68932.31057390544,4.89,10.5894
46.0,68555.17533001231,0.7776,68943.97533001231,4.849,10.5814
48.0,68547.5278595023,0.7776,68936.3278595023,4.813,10.5728
50.0,68464.1052001953,0.7776,68852.90520019531,4.7732,10.5672
52.0,68556.25385206079,0.7776,68945.0538520608,4.7356,10.5532
54.0,68663.33155997224,0.7776,69052.13155997224,4.7012,10.5404
56.0,68725.07434839311,0.7776,69113.87434839312,4.6674,10.5292
58.0,68749.6433166146,0.7776,69138.4433166146,4.6474,10.523
60.0,68916.41496893407,0.7776,69305.21496893407,4.626,10.5124
62.0,68963.63660427819,0.8922,69409.7366042782,2.745,10.098
64.0,69084.83005704988,0.8922,69530.93005704989,2.6942,10.0832
66.0,69161.0747265868,0.8922,69607.1747265868,2.6512,10.07
68.0,69279.01968404274,0.8922,69725.11968404274,2.6054,10.0552
70.0,69304.7728303142,0.8922,69750.87283031421,2.563,10.0452
