pm_interval_days,mean_cost,p_fail,objective
40,63782.364589904355,0.6278,64096.26458990436
42,60498.35161601627,0.6446,60820.65161601627
44,61293.81120638127,0.6566,61622.111206381276
46,58467.63708500328,0.679,58807.13708500328
48,58814.924936481,0.683,59156.424936481
50,60340.63210008471,0.7056,60693.43210008471
52,62237.10141581043,0.731,62602.60141581043
54,58035.66584578874,0.7348,58403.06584578874
56,58691.07761995584,0.7466,59064.37761995584
58,59536.13160102463,0.759,59915.63160102463
60,61165.171538365496,0.7776,61553.9715383655
