policy,threshold_days,mean_cost,p_fail
CBM,0.0,97565.97692503092,0.4633
CBM,5.0,97565.97692503092,0.4633
CBM,10.0,97565.97692503092,0.4633
CBM,15.0,97565.97692503092,0.4633
CBM,20.0,97565.97692503092,0.4633
CBM,25.0,97565.97692503092,0.4633
CBM,30.0,71044.74362262826,0.7038
CBM,35.0,70597.1529645214,0.7038
CBM,40.0,70512.02101185553,0.7038
CBM,45.0,70404.00759635346,0.7038
CBM,50.0,70529.3593255301,0.7038
CBM,55.0,68026.36844255713,0.8412
CBM,60.0,67894.5077523246,0.8412
CBM,65.0,67950.44139193944,0.8412
CBM,70.0,68059.51862162992,0.8412
CBM,75.0,68139.70166041449,0.8412
CBM,80.0,70637.67889968354,0.9068
CBM,85.0,70924.87260631387,0.9068
CBM,90.0,71079.72545748105,0.9068
CBM,95.0,71349.40841253019,0.9068
CBM,100.0,71547.93337962977,0.9068
CBM,105.0,73984.03056866964,0.9527
CBM,110.0,74381.63853243292,0.9527
CBM,115.0,74741.75092803576,0.9527
CBM,120.0,75142.90649147436,0.9527
CBM,125.0,75450.22722633406,0.9527
CBM,130.0,77238.29159371075,0.9675
CBM,135.0,77597.87825737173,0.9675
CBM,140.0,77845.22364994144,0.9675
CBM,145.0,78139.02558594171,0.9675
CBM,150.0,78374.58504219679,0.9675
CBM,155.0,79515.17946512949,0.9853
CBM,160.0,79760.92718583703,0.9853
CBM,165.0,79970.02422951629,0.9853
CBM,170.0,80113.1392705139,0.9853
CBM,175.0,80296.36858338205,0.9853
CBM,180.0,80955.48900907698,0.9909
CBM,185.0,81096.3810444057,0.9909
CBM,190.0,81177.65608882035,0.9909
CBM,195.0,81276.9425025694,0.9909
CBM,200.0,81313.85303199572,0.9909
