lambda,tbm_best_objective,tbm_best_interval_days,tbm_best_mean_cost,tbm_best_p_fail,cbm_best_objective,cbm_best_threshold_days,cbm_best_mean_cost,cbm_best_p_fail,cbm_minus_tbm
0.0,59061.981800816466,75.0,59061.981800816466,0.8412,67894.5077523246,60.0,67894.5077523246,0.8412,8832.525951508134
250.0,59272.28180081647,75.0,59061.981800816466,0.8412,68104.8077523246,60.0,67894.5077523246,0.8412,8832.525951508134
500.0,59482.581800816464,75.0,59061.981800816466,0.8412,68315.1077523246,60.0,67894.5077523246,0.8412,8832.525951508142
750.0,59692.88180081647,75.0,59061.981800816466,0.8412,68525.4077523246,60.0,67894.5077523246,0.8412,8832.525951508127
1000.0,59903.18180081646,75.0,59061.981800816466,0.8412,68735.7077523246,60.0,67894.5077523246,0.8412,8832.525951508134
1250.0,60113.481800816466,75.0,59061.981800816466,0.8412,68946.0077523246,60.0,67894.5077523246,0.8412,8832.525951508134
1500.0,60323.78180081647,75.0,59061.981800816466,0.8412,69156.3077523246,60.0,67894.5077523246,0.8412,8832.525951508134
1750.0,60534.081800816464,75.0,59061.981800816466,0.8412,69366.6077523246,60.0,67894.5077523246,0.8412,8832.525951508142
2000.0,60744.38180081647,75.0,59061.981800816466,0.8412,69576.9077523246,60.0,67894.5077523246,0.8412,8832.525951508127
2250.0,60954.68180081646,75.0,59061.981800816466,0.8412,69787.2077523246,60.0,67894.5077523246,0.8412,8832.525951508134
2500.0,61164.981800816466,75.0,59061.981800816466,0.8412,69997.5077523246,60.0,67894.5077523246,0.8412,8832.525951508134
2750.0,61375.28180081647,75.0,59061.981800816466,0.8412,70207.8077523246,60.0,67894.5077523246,0.8412,8832.525951508134
3000.0,61585.581800816464,75.0,59061.981800816466,0.8412,70418.1077523246,60.0,67894.5077523246,0.8412,8832.525951508142
3250.0,61795.88180081647,75.0,59061.981800816466,0.8412,70628.4077523246,60.0,67894.5077523246,0.8412,8832.525951508127
3500.0,62006.18180081646,75.0,59061.981800816466,0.8412,70838.7077523246,60.0,67894.5077523246,0.8412,8832.525951508134
3750.0,62216.481800816466,75.0,59061.981800816466,0.8412,71049.0077523246,60.0,67894.5077523246,0.8412,8832.525951508134
4000.0,62426.78180081647,75.0,59061.981800816466,0.8412,71259.3077523246,60.0,67894.5077523246,0.8412,8832.525951508134
4250.0,62637.081800816464,75.0,59061.981800816466,0.8412,71469.6077523246,60.0,67894.5077523246,0.8412,8832.525951508142
